timestamp,body,source,language_guess,possibly_sensitive,retweet_count,reply_count,like_count,quote_count,impression_count,is_retweet,retweeted_user,is_quote_tweet,quoted_user,is_quote_withheld,is_reply,replied_user,is_withheld,hashtags,urls,mentions,place_name,sentiment
2023-10-21 21:38:21,🇺🇸🇮🇱 Crew onboard the USS Gerald R. Ford near ISRAEL have been served steak &amp; lobster tonight for dinner which is usually reserved for either holidays (which today isn’t) or BAD NEWS. https://t.co/C423gqrzQt,Twitter for iPhone,en,no,1028,669,5837,67,630495,no,NA,no,,no,no,,no,,,,,-0.0246598481
2023-10-21 21:12:34,We have nothing against Judaism. But if they rely on liberal anti-traditional LGBT+ Western civilization they have no right to claim being jews. They are Erev Rav. Nothing else. So their fate is done. Anybody who concludes the alliance with devil will be treated accordingly.…,Twitter Web App,en,no,401,121,1340,37,65687,no,NA,no,,no,no,,no,,,,,0
2023-10-13 3:12:34,"Remove any clogs and debris easily without Chemicals!
Get it now 👉 https://t.co/XTqUwAC9SH https://t.co/uBdAI0zLu9",Twitter Ads,en,no,19,7,196,2,671625,no,NA,no,,no,no,,no,,https://hasopro.com/cleaning-claw,,,-0.6187184335
2023-10-21 6:59:43,Who has an interest in this? https://t.co/w6OciGfRmW,Twitter for iPhone,en,no,5389,1489,23320,327,3543236,no,NA,no,,no,no,,no,,,,,0.2041241452
2023-10-21 20:47:18,"BREAKING:

Iranian media, Tasmin: 

U.S.  Army bases will be destroyed when Israel's ground operation against Gaza begins.  For several days in a row, US bases in the Near East have been attacked by kamikaze drones.  

The US bases across the Middle East are literally surrounded… https://t.co/bRUoSRPMt7",Twitter for Android,en,no,457,94,1068,31,96955,no,NA,no,,no,no,,no,,,,,-0.2449489743
2023-10-21 21:35:39,"If China attempts to intercept Iranian missiles it will deeply regret it.
There's enough ammunition for everyone.",Twitter Web App,en,no,8,31,150,0,10579,no,NA,no,,no,no,,no,,,,,-0.3897114317
2023-10-21 18:11:10,"This photo from a pro-Palestinian rally in Warsaw has shocked the world. 

Visegrad24 has identified the young woman in the photo.

Meet Marie Andersen. 

She is a Norwegian medical student at the Medical University of Warsaw. https://t.co/3LxYAsIScf",Twitter for iPhone,en,no,9762,4362,32428,1783,4385167,no,NA,no,,no,no,,no,,,,,0.1386750491
2023-10-21 3:14:09,"🎅Christmas is coming.🌲Think about cool gift!
✨Spark creativity and learning with our LED Drawing Board! 🎨 Watch as hands-on fun fosters cognitive skills and boosts self-assurance. Unlock your child's potential today!
🛒SHOP NOW👉https://t.co/1b0Y0Zsmfo https://t.co/bok22SpcGD",Twitter for Advertisers,en,no,3,0,67,1,383877,no,NA,no,,no,no,,no,,https://gallerify.co/E8876,,,0.4724555913
2023-10-21 17:06:46,"They might not be this direct about it, but I think most women do think about these things.

Ladies, what is the minimum you expect a guy to spend to take you out of a first date? Or is this even an issue?

Guys, what do you think the minimum amount you will spend? Or is this…",Twitter Web App,en,no,195,1466,2336,49,3659247,no,NA,yes,ClownWorld_,no,no,,no,,,,,0
2023-10-21 21:04:34,"🇮🇷 The Islamic Republic of Iran has reached a point where the US is asking its allies to stop making excuses to Iran.
Do not make excuses so that Iran does not attack Israel, but also do not make excuses so that Iran has nothing to do with our ships and bases.
If the White House… https://t.co/pBvzmP4EjP",Twitter for Android,en,no,277,152,1296,20,265313,no,NA,no,,no,no,,no,,,,,-0.1385804656
2023-10-21 21:23:48,"China deploys six warships to Middle East over fears Israel crisis could spark WW3. The task force includes the Zibo, a guided missile destroyer, the frigate Jingzhou, and the supply ship Qiandaohu - all of which will be stationed in the Middle East as Israel prepares for a… https://t.co/n4Xf8y8lLy",Twitter for iPhone,en,no,347,89,867,61,53492,no,NA,no,,no,no,,no,,,,,-0.4409810492
2023-10-21 7:34:41,"There will be time to analyse more deeply but the most depressing thing so far is not the evil stupidity of our rulers, this we knew already. It is the realisation that Millions of psychopaths walk among us including apparently normal people we know, have worked with had friendly…",Twitter for Android,en,no,3193,564,9883,115,509645,no,NA,no,,no,no,,no,,,,,0.5294301968
2023-10-11 6:05:02,"I can't live without this stuff anymore!😆
🛍️ Grab Yours Here! 👉 https://t.co/kwWTyAzF0G https://t.co/dDypDzLIFf",Twitter Ads,en,no,221,3,2491,47,4057459,no,NA,no,,no,no,,no,,https://vozaware.com/super-tape,,,0
2023-10-21 17:18:33,Actual footage from the UNSC https://t.co/vRhVCCHnf5,Twitter Web App,en,no,7851,276,19983,173,465439,no,NA,no,,no,no,,no,,,,,0.1333333333
2023-10-21 18:26:46,"BBC Verify asked three ""experts"" about the bombing of the Al-Ahli hospital.

The ""experts"" concluded that the blast was ""not consistent"" with a ""typical Israeli airstrike"".

But who were these ""experts""? Thread: https://t.co/xR7yoiFjGr",Twitter Web App,en,no,2273,179,4679,283,467462,no,NA,no,,no,no,,no,,,,,0.1664100589
2023-10-21 13:02:07,"Wow! Ex leader of Germany confirms revelations by ex Israeli PM &amp; Ukrainian media: ""At the peace negotiations in Istanbul in March 2022 with Rustem Umerov, the Ukrainians did not agree on peace because they were not allowed to. For everything they discussed, they first had to ask… https://t.co/ryl18Ezhbx",Twitter Web App,en,no,2164,148,4302,220,663936,no,NA,no,,no,no,,no,,,,,0.5
2023-10-21 16:18:19,"Biden said the US will create a new world order

 US President Joe Biden at a pre-election event said that humanity needs a new world order and expressed confidence that Washington will be able to build it if it has sufficient audacity and self-confidence.

“ We spent 50 years in… https://t.co/zfkQw5vXI1",Twitter for Android,en,no,678,1296,1889,244,522186,no,NA,no,,no,no,,no,,,,,0.6708609005
2023-10-21 4:07:48,"💞 You are always in my heart!
✍️Name &amp; Date can be changed.
🛒Order here: https://t.co/UcUJJ3SedI https://t.co/NWxZhrhFLG",Twitter for Advertisers,en,no,0,0,18,0,123208,no,NA,no,,no,no,,no,,https://goodite.co/E8881,,,0
