timestamp,body,source,language_guess,possibly_sensitive,retweet_count,reply_count,like_count,quote_count,impression_count,is_retweet,retweeted_user,is_quote_tweet,quoted_user,is_quote_withheld,is_reply,replied_user,is_withheld,hashtags,urls,mentions,place_name,sentiment
2023-06-18 17:23:48,"The ‘experts’: “RFK Jr. and Joe Rogan are spreading dangerous vaccine misinfo and should be shut down.”

RFK &amp; Rogan: “Okay, let’s debate about it.”

The ‘experts’: “I don’t debate with someone pushing misinformation.”

Joe Rogan: “I’ll give you hundreds of thousands of dollars… https://t.co/w4MBGTrx0R",Twitter for iPhone,en,no,9714,3273,55516,471,6387940,no,NA,no,,no,no,,no,,,,,-0.2747211279
2023-06-25 22:05:45,Just In: In an old email just released the CDC Director was discussing the issue of “breakthrough” cases after finding out vaccinated people were still being infected. The email was sent 1 month after vaccine rollouts! In the email CDC Walensky says she discussed this with NIH… https://t.co/Ymt4yb1tdt,Twitter for iPhone,en,no,6510,963,21845,229,1817207,no,NA,no,,no,no,,no,,,,,-0.1924500897
2023-06-26 6:03:00,"Three of these four bullet points are flat false but what else do you expect from a Fox contributor. (Incidentally, Fox had an internal company vaccine mandate while, on air, preaching the exact opposite. Where else have they done that again? 🤔)",Twitter for iPhone,en,no,329,104,3102,3,283291,no,NA,yes,NBSaphierMD,no,no,,no,,,,,0.3439859514
2023-06-26 13:33:15,"@jeremykauffman The man you banned from Porcfest lost his daughter due to the Covid vaccine. Then, you mock him in front of hundreds of people by claiming that the 'vaccine works'. I admire the composure this man maintained. Your behavior, however, was shameful. Please make the video public.",Twitter Web App,en,no,73,6,786,2,29672,no,NA,no,,no,yes,jeremykauffman,no,,,jeremykauffman,,-0.2969287232
2023-06-26 14:01:10,"JUST IN - Pfizer stock falls over 5% after halting the development of an ""experimental"" obesity drug over safety concerns. https://t.co/qEoMuc8rvk",Twitter Web App,en,no,669,235,3314,121,345290,no,NA,no,,no,no,,no,,,,,-0.2710575995
2023-06-28 14:44:48,"1) Bill Gates company released billions of mosquitoes in Florida &amp; Texas.

2) Malaria now in Florida &amp; Texas for the first time in 20 years.

3) Bill Gates has a malaria vaccine almost ready.

Hydroxycholorquine is an anti-malarial drug.
No vax needed.

https://t.co/Lyflu2qRvT https://t.co/4MOoYcbWFQ",Twitter Web App,en,no,20079,2638,45842,1533,11576749,no,NA,yes,TexasLindsay_,no,no,,no,,https://twitter.com/TexasLindsay_/status/1673919025682808836?s=20,,,0
2023-06-28 18:35:44,Remember when this pregnant Doctor virtue signaled for a vaccine with no long-term studies that was never tested for safety on pregnant women? https://t.co/gSXflUUvOz,Twitter for iPhone,en,no,7414,3380,53095,431,12924024,no,NA,no,,no,no,,no,,,,,-0.06123724357
2023-07-16 3:56:20,"Bill Gates ask the Danish government to support DTP vaccination of 161 million African children…

Gates claimed it was saving 30 million lives, so the Danish government asked for the data, of which Gates had none…

So they went to Africa and looked at 30 years of DTP data. What… https://t.co/PHg2GWvKBu",Twitter for iPhone,en,no,24423,1592,49101,1433,4520382,no,NA,no,,no,no,,no,,,,,0.04423258685
2023-07-19 22:00:45,"Pfizer building destroyed by a tornado in North Carolina. 50,000 pallets of medicines destroyed.😳

🔊

 https://t.co/HP5KSLdEpq",Twitter for iPhone,en,no,6935,7113,44569,2326,13055937,no,NA,no,,no,no,,no,,,,,-0.2166666667
2023-07-19 22:16:05,🚨 BREAKING NEWS: A Pfizer Warehouse Full of Covid Vaccines Was Just DESTROYED BY A TORNADO in North Carolina ⚠️ https://t.co/BiyLw65OaV,Twitter for iPhone,en,no,16666,15298,95899,5788,12769336,no,NA,no,,no,no,,no,,,,,-0.281494459
2023-07-21 5:14:05,"Indian authorities to Pfizer… “You can either lose 1.38 billion customers or allow an *independent investigation* to determine whether your product is safe and effective”…

Pfizer… “We would rather give up 1.8 billion customers”… https://t.co/oNW4dVBFFW",Twitter for iPhone,en,no,22443,1035,53739,1493,3640111,no,NA,no,,no,no,,no,,,,,0.2548184303
2023-08-04 5:19:08,BOMBSHELL: Pfizer employees were given a *special batch*… different from what was forced into the general population 🚨🚨🚨 https://t.co/CDww6wxFif,Twitter for iPhone,en,no,26393,1945,47938,3359,12920987,no,NA,no,,no,no,,no,,,,,0.1492405014
2023-08-27 15:50:23,"BREAKING: The US just found a new Covid variant in wastewater during routine test. This comes after the government began investing in new Covid equipment and a vaccine, and weeks after they informed government agencies of coming lockdowns. How did they know they’d find new… https://t.co/rghmY9M4eB",Twitter for iPhone,en,no,14515,7054,45753,1227,4247121,no,NA,no,,no,no,,no,,,,,0.2138089935
2023-09-02 22:59:05,"The. Polio. Vaccine. Is. Still. Required. For. Children. In. Every. State. Before. Entering. School.

Stop. Saying. Stupid. Shit. That. Is. Going. To. Get. More. People. Killed. From. A. Virus. That. Has. Already. Claimed. Over. 7. Million. Lives. You. Fucking. Lunatic @Cernovich https://t.co/85IJQXBeyE",Twitter for iPhone,en,no,4980,578,20814,105,529724,no,NA,no,,no,no,,no,,,Cernovich,,0
2023-09-05 21:51:22,"Mark Zuckerberg privately told Facebook execs to be cautious about mRNA vaccines because ""we just don't know the long-term side effects of basically modifying people's DNA and RNA."" He then censored scientists, doctors, and mRNA vaccine-injured individuals. https://t.co/RZ1zmC0ZMc",Twitter Web App,en,no,19267,603,38111,536,970868,no,NA,no,,no,no,,no,,,,,-0.2481986384
2023-09-18 2:10:08,"Before anyone says another word about COVID, vaccine efficacy and booster shots, or a supposed impending pandemic going into the fall/winter, you need to explain to me in thorough scientifically substantiated detail exactly how the flu vanished for 2 years straight and was… https://t.co/22JxZ6kKNF",Twitter Web App,en,no,4850,523,11528,271,810668,no,NA,no,,no,no,,no,,,,,-0.08660254038
2023-09-18 8:40:18,First Major U.S. Health Official Urges Public to Avoid mRNA Jabs: 'They Cause VAIDS': https://t.co/LQvZmR08cp,Twitter Web App,en,no,7306,114,14582,157,508614,no,NA,no,,no,no,,no,,https://thepeoplesvoice.tv/first-major-u-s-health-official-urges-public-to-avoid-mrna-jabs-they-cause-vaids/,,,0.2
2023-09-18 12:48:07,"Bill Gates purchased shares in BioNTech (Pfizer’s partner for its mRNA Covid shots) in September 2019… just months before the pandemic was announced… Gates purchased 1,038,674 shares at pre-public offering price of $18.10 per share… Gates dumped his stocks, in November… https://t.co/qv2luyG7pE",Twitter Web App,en,no,12670,1839,26564,779,3729441,no,NA,no,,no,no,,no,,,,,-0.03686048904
